 P5K-E R102G        eM-Test Expert (R)     licence #50871 ASUSTEK COMPUTER INC, 

 Test Fixture Nails    1569/9020 Selected Drills           6-Jul-2007 9:48
                       1569 Nails, 2431 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$286       2.419     4.763   2  B4   (B)  #1338 X_2X1_TXN0_C     V PIN PCIEX1_2.35
$287       2.498     4.763   2  B4   (B)  #788  X_1X1PRSNT#      V PIN PCIEX1_2.37
$288       2.341     4.861   1  B4   (B)  #96   C_PCIEX1_2       V PIN PCIEX1_2.15
$289       2.380     4.940   2  B4   (B)  #95   C_PCIEX1#_2      V PIN PCIEX1_2.16
$290       2.459     4.940   2  B4   (B)  #772  X_2X1_RXP0       V PIN PCIEX1_2.18
$291       2.915     0.510   1  C1   (B)  #1054 P_5V_USB_Q2_10   V VIA .
$292       2.931     1.484   1  C2   (B)  #1602 X_2X16_TXN3_C    V PIN PCIEX16_2.112
$293       2.970     1.661   1  C2   (B)  #768  X_2X16_RXP3      V PIN PCIEX16_2.31
$294       2.875     2.262   1  C2   (B)  #932  K_C/BE#3         V PIN PCI2.88
$295       2.925     3.162   1  C3   (B)  #920  K_AD23           V PIN PCI1.89
$296       2.675     3.262   1  C3   (B)  #925  K_AD28           V PIN PCI1.24
$297       2.825     3.362   1  C3   (B)  #921  K_AD24           V PIN PCI1.27
$298       3.025     0.145   2  C1   (B)  #973  +5V_DUAL_USBKB   V VIA .
$299       2.990     0.215   2  C1   (B)  #1053 P_5VSB_USB_SW_10 V VIA .
$300       3.080     0.255   1  C1   (B)  #1050 P_5V_USB_Q1_10   V VIA .
$301       3.145     0.500   1  C1   (B)  #1052 P_5V_USB_Q3_10   V VIA .
$302       3.049     1.563   1  C2   (B)  #446  X_2X16_DET_B       PIN PCIEX16_2.115
$303       3.010     1.740   1  C2   (B)  #767  X_2X16_RXN3      V PIN PCIEX16_2.32
